,price,host_acceptance_rate,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,instant_bookable,host_total_listings_count,accommodates,bathrooms,beds,review_scores_rating,room_type,neighbourhood,rating_range
124,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Central & Western,
125,333.0,0.43,0.97,f,t,t,f,126,2,1.0,1.0,4.3,Entire home/apt,Wan Chai,"[4,5]"
126,468.0,0.43,0.97,f,t,t,f,126,2,1.0,2.0,4.14,Entire home/apt,Wan Chai,"[4,5]"
127,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Yau Tsim Mong,
128,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,4.0,Private room,Central & Western,"[3,4]"
129,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,5.0,Private room,Central & Western,"[4,5]"
130,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Central & Western,
131,1430.0,0.0,,f,t,t,t,11,2,1.0,1.0,,Private room,Yau Tsim Mong,
132,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Central & Western,
133,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,4.0,Private room,Central & Western,"[3,4]"
134,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
135,174.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Eastern,
136,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,2.0,Private room,Wan Chai,"[1,2]"
137,1095.0,0.99,1.0,f,t,t,f,58,3,1.0,2.0,4.32,Entire home/apt,Central & Western,"[4,5]"
138,1294.0,0.97,1.0,f,t,t,f,2,5,2.0,4.0,4.78,Entire home/apt,Wan Chai,"[4,5]"
139,1902.0,0.94,1.0,f,t,t,f,16,6,1.0,4.0,4.4,Entire home/apt,Yau Tsim Mong,"[4,5]"
140,1904.0,0.94,1.0,f,t,t,t,16,4,1.0,4.0,4.21,Entire home/apt,Yau Tsim Mong,"[4,5]"
141,649.0,0.31,0.81,f,t,t,f,31,4,1.0,2.0,4.52,Entire home/apt,Yau Tsim Mong,"[4,5]"
142,180.0,0.32,1.0,f,t,t,f,503,2,1.0,2.0,,Private room,Central & Western,
143,561.0,0.99,1.0,f,t,t,f,58,2,1.0,1.0,4.52,Private room,Central & Western,"[4,5]"
144,594.0,0.99,1.0,f,t,t,f,58,2,1.0,1.0,4.63,Private room,Central & Western,"[4,5]"
145,511.0,0.99,1.0,f,t,t,f,58,2,1.0,1.0,4.42,Private room,Central & Western,"[4,5]"
146,657.0,0.99,1.0,f,t,t,f,58,2,1.0,1.0,4.33,Private room,Central & Western,"[4,5]"
147,1550.0,0.46,1.0,t,t,t,f,18,6,3.0,3.0,4.6,Entire home/apt,Sha Tin,"[4,5]"
148,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,,Private room,Central & Western,
149,1200.0,0.96,1.0,f,t,t,f,2,4,1.0,2.0,4.44,Entire home/apt,Islands,"[4,5]"
150,480.0,0.46,1.0,t,t,t,f,18,2,1.0,1.0,4.63,Private room,Sai Kung,"[4,5]"
151,350.0,0.0,,f,t,f,f,1,1,1.0,1.0,,Private room,Islands,
152,1000.0,,,f,t,t,f,1,2,1.0,1.0,,Entire home/apt,Wan Chai,
153,409.0,0.74,1.0,f,t,f,f,4,2,1.0,1.0,4.53,Entire home/apt,Wan Chai,"[4,5]"
154,367.0,0.74,1.0,f,t,f,f,4,2,1.0,1.0,4.63,Entire home/apt,Wan Chai,"[4,5]"
155,507.0,0.74,1.0,f,t,f,f,4,2,1.0,1.0,4.52,Entire home/apt,Wan Chai,"[4,5]"
156,450.0,0.46,1.0,t,t,t,f,18,2,1.0,1.0,4.84,Private room,Sai Kung,"[4,5]"
157,380.0,0.46,1.0,t,t,t,f,18,2,1.0,1.0,4.82,Private room,Sai Kung,"[4,5]"
158,380.0,0.46,1.0,t,t,t,f,18,2,1.0,1.0,4.5,Private room,Sai Kung,"[4,5]"
159,1833.0,0.46,1.0,t,t,t,f,18,8,2.0,5.0,4.85,Entire home/apt,Sai Kung,"[4,5]"
160,217.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
161,568.0,0.0,1.0,f,t,t,f,1,1,1.0,1.0,4.77,Private room,Sha Tin,"[4,5]"
162,1200.0,0.98,1.0,t,t,t,f,66,5,1.0,4.0,4.77,Entire home/apt,Wan Chai,"[4,5]"
163,649.0,1.0,0.9,f,t,t,t,14,4,1.0,2.0,4.68,Private room,Yau Tsim Mong,"[4,5]"
164,424.0,1.0,0.9,f,t,t,t,14,2,1.0,2.0,4.32,Private room,Yau Tsim Mong,"[4,5]"
165,800.0,1.0,1.0,f,t,t,t,3,2,1.0,1.0,5.0,Entire home/apt,Central & Western,"[4,5]"
166,480.0,0.77,1.0,t,t,t,f,10,1,1.0,1.0,,Private room,Tuen Mun,
167,1680.0,0.46,1.0,t,t,t,f,18,8,2.0,3.0,4.56,Entire home/apt,Sai Kung,"[4,5]"
168,250.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,3.0,Private room,Wan Chai,"[2,3]"
169,960.0,1.0,1.0,f,t,t,f,4,4,1.0,1.0,4.5,Entire home/apt,Eastern,"[4,5]"
170,413.0,1.0,0.9,f,t,t,t,14,2,1.0,1.0,4.25,Private room,Yau Tsim Mong,"[4,5]"
171,513.0,1.0,0.9,f,t,t,t,14,3,1.0,2.0,4.48,Private room,Yau Tsim Mong,"[4,5]"
172,424.0,1.0,0.9,f,t,t,t,14,2,1.0,2.0,4.65,Private room,Yau Tsim Mong,"[4,5]"
173,513.0,1.0,0.9,f,t,t,t,14,3,1.0,2.0,4.68,Private room,Yau Tsim Mong,"[4,5]"
174,929.0,0.0,,f,t,f,f,3,2,1.0,2.0,4.0,Entire home/apt,Yau Tsim Mong,"[3,4]"
175,1900.0,0.96,1.0,f,t,t,t,6,10,1.0,7.0,4.62,Entire home/apt,Yau Tsim Mong,"[4,5]"
176,1900.0,0.96,1.0,f,t,t,f,6,10,1.0,6.0,4.43,Entire home/apt,Yau Tsim Mong,"[4,5]"
177,1900.0,0.96,1.0,f,t,t,f,6,10,2.0,7.0,4.4,Entire home/apt,Yau Tsim Mong,"[4,5]"
178,1900.0,0.96,1.0,f,t,t,f,6,10,2.0,5.0,4.6,Entire home/apt,Yau Tsim Mong,"[4,5]"
179,576.0,0.92,1.0,t,t,t,f,5,1,1.0,1.0,4.92,Private room,Sai Kung,"[4,5]"
180,1899.0,0.92,1.0,t,t,t,f,5,4,1.0,3.0,4.87,Entire home/apt,Sai Kung,"[4,5]"
181,300.0,,,f,t,f,f,3,1,1.0,1.0,4.0,Shared room,Wan Chai,"[3,4]"
182,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
183,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Yau Tsim Mong,
184,400.0,0.38,0.5,f,t,t,f,3,2,1.0,2.0,5.0,Private room,Yau Tsim Mong,"[4,5]"
185,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Eastern,
186,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Central & Western,
187,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,,Private room,Central & Western,
188,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
189,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,,Private room,Central & Western,
190,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,5.0,Private room,Eastern,"[4,5]"
191,1736.0,,,f,t,t,f,2,2,1.0,1.0,4.89,Entire home/apt,Central & Western,"[4,5]"
192,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,4.0,Private room,Central & Western,"[3,4]"
193,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
194,217.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Entire home/apt,Central & Western,
195,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,3.0,Private room,Yau Tsim Mong,"[2,3]"
196,500.0,0.46,1.0,t,t,t,f,18,1,1.0,1.0,4.95,Private room,Sha Tin,"[4,5]"
197,500.0,0.46,1.0,t,t,t,f,18,1,1.0,1.0,4.79,Private room,Sha Tin,"[4,5]"
198,400.0,0.46,1.0,t,t,t,f,18,1,1.0,2.0,4.92,Private room,Sha Tin,"[4,5]"
199,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Central & Western,
200,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,2.0,Private room,Wan Chai,"[1,2]"
201,217.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,4.0,Private room,Eastern,"[3,4]"
202,230.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
203,217.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,4.0,Private room,Yau Tsim Mong,"[3,4]"
204,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,3.0,Private room,Central & Western,"[2,3]"
205,1131.0,0.83,1.0,t,t,t,f,30,6,1.0,3.0,4.53,Entire home/apt,Yau Tsim Mong,"[4,5]"
206,160.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
207,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,4.0,Private room,Central & Western,"[3,4]"
208,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Eastern,
209,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Central & Western,
210,500.0,0.67,0.9,f,t,t,f,19,2,1.0,2.0,4.85,Private room,Yau Tsim Mong,"[4,5]"
211,611.0,1.0,0.9,f,t,t,t,14,4,1.0,2.0,4.53,Private room,Yau Tsim Mong,"[4,5]"
212,580.0,0.92,1.0,t,t,t,f,5,2,1.0,2.0,4.94,Private room,Sai Kung,"[4,5]"
213,857.0,0.67,0.9,f,t,t,f,19,2,1.0,2.0,4.83,Private room,Yau Tsim Mong,"[4,5]"
214,542.0,1.0,1.0,t,t,t,t,4,2,1.0,1.0,4.87,Entire home/apt,Islands,"[4,5]"
215,480.0,0.46,1.0,t,t,t,f,18,2,1.0,1.0,5.0,Private room,Sai Kung,"[4,5]"
216,173.0,0.84,1.0,t,t,t,f,16,10,2.0,10.0,4.78,Shared room,Yau Tsim Mong,"[4,5]"
217,920.25,1.0,1.0,f,t,t,f,1,4,1.0,2.0,4.67,Entire home/apt,Eastern,"[4,5]"
218,1186.0,0.78,1.0,f,t,t,f,2,3,1.0,2.0,4.66,Entire home/apt,Sai Kung,"[4,5]"
219,354.0,0.97,0.93,f,t,t,t,9,2,1.0,1.0,4.65,Entire home/apt,Central & Western,"[4,5]"
220,281.0,0.97,0.9,t,t,t,t,12,1,2.0,1.0,4.72,Hotel room,Yau Tsim Mong,"[4,5]"
221,699.0,1.0,0.83,f,t,t,t,59,2,1.0,2.0,4.1,Private room,Yau Tsim Mong,"[4,5]"
222,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Wan Chai,
223,579.0,0.67,0.9,f,t,t,t,19,1,1.0,1.0,4.8,Private room,Yau Tsim Mong,"[4,5]"
224,500.0,0.67,0.9,f,t,t,t,19,1,1.0,1.0,4.84,Private room,Yau Tsim Mong,"[4,5]"
225,200.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,4.0,Private room,Central & Western,"[3,4]"
226,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,,Private room,Central & Western,
227,180.0,0.32,1.0,f,t,t,f,503,2,1.0,1.0,,Private room,Central & Western,
228,180.0,0.32,1.0,f,t,t,f,503,1,1.0,1.0,,Private room,Central & Western,
229,380.0,0.67,0.9,f,t,t,t,19,1,1.0,1.0,4.86,Private room,Yau Tsim Mong,"[4,5]"
230,774.0,0.67,0.9,f,t,t,f,19,2,1.0,2.0,4.79,Private room,Yau Tsim Mong,"[4,5]"
231,771.0,0.67,0.9,f,t,t,t,19,2,1.0,2.0,4.78,Private room,Yau Tsim Mong,"[4,5]"
232,1200.0,1.0,1.0,t,t,t,f,1,3,1.0,3.0,4.91,Entire home/apt,Central & Western,"[4,5]"
233,658.0,0.94,1.0,f,t,t,f,16,2,1.0,1.0,4.42,Entire home/apt,Yau Tsim Mong,"[4,5]"
234,429.0,0.96,1.0,f,t,t,f,25,2,1.0,1.0,4.45,Private room,Yau Tsim Mong,"[4,5]"
235,300.0,0.0,,f,t,f,f,1,5,1.5,3.0,,Private room,Yuen Long,
236,500.0,0.67,0.9,f,t,t,f,19,2,1.5,1.0,4.8,Private room,Yau Tsim Mong,"[4,5]"
237,426.0,0.96,1.0,f,t,t,f,25,2,1.0,1.0,4.44,Private room,Yau Tsim Mong,"[4,5]"
238,528.0,0.96,1.0,f,t,t,f,25,3,1.0,2.0,4.27,Private room,Yau Tsim Mong,"[4,5]"
239,407.0,0.96,1.0,f,t,t,f,25,2,1.0,2.0,4.19,Private room,Yau Tsim Mong,"[4,5]"
240,271.0,0.66,0.97,t,t,t,f,45,1,2.0,10.0,4.71,Shared room,Kowloon City,"[4,5]"
241,279.0,0.66,0.97,t,t,t,f,45,1,2.0,10.0,4.83,Shared room,Kowloon City,"[4,5]"
242,693.0,0.96,1.0,f,t,t,f,25,4,1.0,3.0,4.4,Private room,Yau Tsim Mong,"[4,5]"
243,940.0,0.94,1.0,f,t,t,f,16,2,1.0,1.0,3.67,Entire home/apt,Yau Tsim Mong,"[3,4]"
244,920.25,,,f,t,t,f,3,3,1.5,1.0,,Entire home/apt,Central & Western,
245,456.0,0.96,1.0,f,t,t,f,25,2,1.0,1.0,4.18,Private room,Yau Tsim Mong,"[4,5]"
246,559.0,0.96,1.0,f,t,t,f,25,2,1.0,2.0,4.17,Private room,Yau Tsim Mong,"[4,5]"
247,189.0,0.84,1.0,t,t,t,f,16,10,2.0,10.0,4.65,Shared room,Yau Tsim Mong,"[4,5]"
248,189.0,0.84,1.0,t,t,t,f,16,10,2.0,10.0,4.74,Shared room,Yau Tsim Mong,"[4,5]"
249,675.0,0.96,1.0,f,t,t,f,25,3,1.0,3.0,4.38,Private room,Yau Tsim Mong,"[4,5]"
